uid,rosterNo,id,displayName,variantLabel,brand,parodyName,parodyBrand,chassisCode,engineCode,yearFrom,priceYen,priceStatus,bookValueYen,tier,rarity,origin,culture,scope,builtInContent,reliabilityBase,styleBase,aeroCeiling,stockPowerPs,quotedPowerPs,powerRpm,peakTorqueNm,torqueRpm,redlineRpm,displacementCc,engineConfig,aspiration,curbWeightKg,weightDistributionFront,drivetrain,wheelbaseMm,widthMm,heightMm,comHeightMm,dragCd,stockTyre,tyreCompound,topSpeedKmh,lateralG97,lateralG193,braking97To0M,braking161To0M,zeroTo97S,zeroTo161S,measuredFrom,dataConfidence,estimatedFields,tags,specSource,notes,flavour
MG-062,62,,"Nissan Silvia Spec-R (S15, '02)","Nissan Silvia Spec-R (S15, '02)",Nissan,,,,,2002,2280000,researched,,enthusiast,,jdm,Drift,Legend candidate,no,93,,,253,,,278,,,2000,,,1240,51,RWD,,,,,,,,279.9,0.92,0.97,44,108.1,5.45,13.957,,,,,forza-fh6-roster-data.csv,"Same S15 Spec-R. 253 against our 250 PS, identical 1240 kg.",
MG-063,63,,Mazda RX-8 Type RS (SE3P),Mazda RX-8 Type RS (SE3P),Mazda,,,,,,2380000,researched,,enthusiast,,jdm,Rotary,2004+ Wave,no,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-064,64,,"BMW M3 (E36, '97)","BMW M3 (E36, '97)",BMW,,,,,1988,2450000,researched,,flagship,,gaisha,Touring car,Gaisha II,no,84,,,195,,,230,,,2300,,,1253,51,RWD,,,,,,,,250.3,0.89,0.91,46.5,114.8,6.784,19.323,,,,,forza-fh6-roster-data.csv,"Same E30 M3. Identical PS, kg and front%.",
MG-065,65,,Mitsubishi Pajero Evolution (V55W),Mitsubishi Pajero Evolution (V55W),Mitsubishi,,,,,,2500000,STAND-IN,,flagship,,jdm,Kurokan,L,no,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-066,66,,Lancia Delta HF Integrale Evo,Lancia Delta HF Integrale Evo,Lancia,,,,,1992,2550000,researched,,flagship,,gaisha,Rally-bred,Gaisha,no,67,,,213,,,304,,,2000,,,1300,63,AWD,,,,,,,,219.4,0.91,0.92,42.4,107,5.926,17.202,,,,,forza-fh6-roster-data.csv,Same Integrale Evo. Identical 1300 kg. Our spec book carries no front% figure; Forza says 63%.,
MG-067,67,,Lancer Evo VI Tommi Mäkinen (CP9A),Lancer Evo VI Tommi Mäkinen (CP9A),Mitsubishi,,,,,,2580000,researched,,flagship,,jdm,Rally-bred,Legend,no,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-068,68,,BMW M3 (E30),BMW M3 (E30),BMW,,,,,1988,2650000,researched,,flagship,,gaisha,Touring car,Gaisha,no,88,,,195,,,230,,,2300,,,1253,51,RWD,,,,,,,,250.3,0.89,0.91,46.5,114.8,6.784,19.323,,,,,forza-fh6-roster-data.csv,"Same E30 M3. Identical PS, kg and front%.",
MG-069,69,,Lancer Evo VIII MR (CT9A),Lancer Evo VIII MR (CT9A),Mitsubishi,,,,,,2680000,researched,,flagship,,jdm,Rally-bred,2004+ Wave,no,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-070,70,,Nissan Fairlady 240ZG (HS30),Nissan Fairlady 240ZG (HS30),Nissan,,,,,,2720000,researched,,flagship,,jdm,Kyusha,L,no,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forza-fh6-roster-data.csv,"No stock S30 240Z or 240ZG in FH6. The only S30 present is a heavily modified Datsun 240z hill-climb build, which is not a usable analogue.",
MG-071,71,,Autech Stagea 260RS (WGNC34),Autech Stagea 260RS (WGNC34),Autech,,,,,1997,2750000,researched,,flagship,,gaisha,Touring car,L,no,89,,,235,,,274,,,2500,,,1620,57,AWD,,,,,,,,236.6,0.85,0.86,46.5,116.6,8.1,20.087,,,,,forza-fh6-roster-data.csv,"LOUD FLAG: Forza's Stagea is the RS Four V with the RB25DET at 235 PS / 1620 kg. Ours is the Autech 260RS with the RB26DETT at 320 PS / 1720 kg, so Forza's has 27% less power. Same wagon, completely different engine.",
MG-072,72,,"Subaru Impreza WRX STI (GDB, '04)","Subaru Impreza WRX STI (GDB, '04)",Subaru,,,,,,2780000,researched,,flagship,,jdm,Rally-bred,L,no,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forza-fh6-roster-data.csv,"FH6 has no plain GC8 WRX STI. Its only GC8 is the 22B, which is our separate roster entry.",
MG-073,73,,Ford Escort RS Cosworth,Ford Escort RS Cosworth,Ford,,,,,1992,2850000,researched,,flagship,,gaisha,Rally-bred,Gaisha II,no,84,,,227,,,304,,,1990,,,1275,56,AWD,,,,,,,,230.3,0.89,0.9,43.2,110.4,6.111,17.214,,,,,forza-fh6-roster-data.csv,"Same car. Identical PS, N.m and kg.",
MG-074,74,,"Nissan Fairlady Z (Z33, '02)","Nissan Fairlady Z (Z33, '02)",Nissan,,,,,1994,2880000,researched,,flagship,,jdm,Wangan,2004+ Wave,no,94,,,280,,,384,,,2960,,,1520,54,RWD,,,,,,,,264.9,0.9,0.91,45.5,113.2,5.441,14.448,,,,,forza-fh6-roster-data.csv,"Same Z32 twin turbo, later Version S trim. Forza labels 280 PS, matching our spec book's gps; 1520 against our 1570 kg.",
MG-075,75,toyota-supra-rz-jza80,Toyota Supra RZ (JZA80),"Toyota Supra RZ (JZA80, '98)",Toyota,Suprema RZ (JZA80),Toyoda,JZA80,2JZ-GTE,1998,2890000,researched,2890000,flagship,rare,jdm,Wangan,P,yes,94,17,1.00,324,280,5600,431,4000,6800,2997,I6,twin-turbo,1510,53,FR,2550,1810,1275,470,0.354,235/45R17,sport,283,0.92,0.94,42.8,106.4,5.252,12.385,forza-panel,MED,com,FR Turbo Piston 90s JDM,cars.json,"Same JZA80 RZ. NOTE: our spec book's gkg=1590 disagrees with Forza's 1510 kg (FH5 also reads 1510), so gkg looks wrong.",
MG-076,76,,"Honda S2000 (AP1, '03)","Honda S2000 (AP1, '03)",Honda,,,,,2003,3380000,researched,,flagship,,jdm,Touge,L,no,95,,,250,,,218,,,2000,,,1250,50,RWD,,,,,,,,264.1,0.91,0.93,45.2,112.2,6.124,15.331,,,,,forza-fh6-roster-data.csv,"AP1 S2000, final AP1 model year. Identical PS, N.m, kg and front%.",
MG-077,77,nissan-skyline-gtr-bnr32,Nissan Skyline GT-R (BNR32),Nissan Skyline GT-R (BNR32),Nissan,Skylene GT-N (BNR32),Nissen,BNR32,RB26DETT,1992,3500000,researched,3500000,flagship,rare,jdm,Touring car,L,yes,90,17,1.00,280,280,6800,353,4400,8000,2568,I6,twin-turbo,1480,59,AWD,2615,1755,1340,490,0.351,225/50R16,performance,268,0.9,0.94,42.2,106.3,4.923,12.738,forza-panel,HIGH,com,AWD Turbo Piston 80s JDM,cars.json,"MAINTAINER-FLAGGED TRAP. Ours is 1989, 320 PS (real output), 1430 kg. Forza's is 1992, 280 PS (JDM claimed), 1480 kg, 59% front. Hand-measured car; Forza's figures are the ones the model must reproduce.",
MG-078,78,,Nissan Skyline GT-R V-Spec (BCNR33),Nissan Skyline GT-R V-Spec (BCNR33),Nissan,,,,,,3750000,researched,,flagship,,jdm,Touring car,L,no,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-079,79,,Mazda RX-7 Spirit R Type A (FD3S),Mazda RX-7 Spirit R Type A (FD3S),Mazda,,,,,,3880000,researched,,flagship,,jdm,Rotary,Legend,no,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-080,80,,Nissan Fairlady Z432 (PS30),Nissan Fairlady Z432 (PS30),Nissan,,,,,1969,4380000,researched,,flagship,,jdm,Kyusha,Legend,no,72,,,162,,,180,,,1990,,,1047,51,RWD,,,,,,,,198.8,0.81,0.8,51.7,127,8.62,26.714,,,,,forza-fh6-roster-data.csv,"Same PS30 Z432. 162 against our 160 PS, 1047 against our 1040 kg.",
MG-081,81,,Subaru Impreza 22B-STi,Subaru Impreza 22B-STi,Subaru,,,,,1998,4480000,researched,,flagship,,jdm,Rally-bred,Legend,no,86,,,280,,,359,,,2210,,,1270,58,AWD,,,,,,,,262.3,0.95,1,39.8,102,4.534,12.789,,,,,forza-fh6-roster-data.csv,Same 22B. Identical 1270 kg; Forza labels 280 PS against our 300 PS real-output estimate.,
MG-082,82,,Porsche 911 Turbo 3.3 (930),Porsche 911 Turbo 3.3 (930),Porsche,,,,,,5500000,researched,,flagship,,gaisha,Exotic,Gaisha,no,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-083,83,,Nissan Skyline GT-R V-Spec II (BNR34),Nissan Skyline GT-R V-Spec II (BNR34),Nissan,,,,,2000,5680000,researched,,flagship,,jdm,Touring car,Legend,no,91,,,285,,,392,,,2570,,,1560,55,AWD,,,,,,,,283.1,0.92,0.96,41.6,103.8,4.546,10.571,,,,,forza-fh6-roster-data.csv,"Same BNR34 V-Spec II, identical 1560 kg. Our 320 PS is a real-output estimate against Forza's 285 PS label. SEE THE VALIDATION REPORT: this is the one car of nine where the hand-measured fingerprint disagrees with ForzaLabs, and two other sources side with ForzaLabs.",
MG-084,84,,Skyline 2000GT-R Hakosuka (KPGC10),Skyline 2000GT-R Hakosuka (KPGC10),Nissan,,,,,,6500000,researched,,flagship,,jdm,Kyusha,Legend,no,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-085,85,,Mazda Cosmo Sport 110S (Series II),Mazda Cosmo Sport 110S (Series II),Mazda,,,,,1972,6800000,researched,,flagship,,jdm,Kyusha,Kyusha Pack,no,65,,,130,,,140,,,1300,,,957,50,RWD,,,,,,,,,,,,,,,,,,,forza-fh6-roster-data.csv,"Series II (L10B) against our Series I L10A: 128 hp against our 110 PS. DATA HOLE: ForzaLabs carries the car but every spec and measurement field is null, so the specs in this row come from the Forza Wiki infobox and ALL measurement columns are deliberately blank. kudosprime does not list the car either.",
MG-086,86,,Mercedes 190E 2.5-16 Evolution II,Mercedes 190E 2.5-16 Evolution II,Mercedes,,,,,,6850000,researched,,flagship,,gaisha,Touring car,Gaisha,no,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-087,87,,Skyline 2000GT-R Kenmeri (KPGC110),Skyline 2000GT-R Kenmeri (KPGC110),Nissan,,,,,,8800000,researched,,flagship,,jdm,Kyusha,Kyusha Pack,no,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-088,88,,Honda NSX-R (NA1),Honda NSX-R (NA1),Honda,,,,,1992,8980000,researched,,flagship,,jdm,Exotic,Legend,no,95,,,280,,,294,,,2980,,,1230,42,RWD,,,,,,,,275.4,1.07,1.13,38.7,95.6,4.632,11.46,,,,,forza-fh6-roster-data.csv,Same NA1 NSX-R. Identical throughout. Hand-measured car.,
MG-089,89,,Nissan GT-R Black Edition (R35),Nissan GT-R Black Edition (R35),Nissan,,,,,,9471000,researched,,flagship,,jdm,Wangan,Hyper Wave,no,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-090,90,,Ferrari F355 Berlinetta (6MT),Ferrari F355 Berlinetta (6MT),Ferrari,,,,,1994,9480000,researched,,flagship,,gaisha,Exotic,Gaisha II,no,66,,,380,,,363,,,3500,,,1450,41,RWD,,,,,,,,300.5,1.07,1.12,38.4,95.3,4.747,10.939,,,,,forza-fh6-roster-data.csv,"Same F355. Identical PS, N.m, kg and front%.",
MG-091,91,,Ferrari 512 TR,Ferrari 512 TR,Ferrari,,,,,,10800000,researched,,flagship,,gaisha,Exotic,Gaisha,no,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-092,92,,Lamborghini Countach LP5000 QV,Lamborghini Countach LP5000 QV,Lamborghini,,,,,1988,14800000,researched,,flagship,,gaisha,Exotic,Gaisha,no,65,,,461,,,500,,,5170,,,1490,41,RWD,,,,,,,,299.8,1.1,1.15,39.3,96.3,4.839,11.699,,,,,forza-fh6-roster-data.csv,Same LP5000 QV. Identical 500 N.m and 1490 kg. See the known trap in forza-telemetry.md: the 461 PS label is historically optimistic.,
MG-093,93,,Toyota 2000GT (MF10),Toyota 2000GT (MF10),Toyota,,,,,1969,23000000,researched,,flagship,,jdm,Kyusha,Legend,no,78,,,152,,,176,,,1990,,,1157,51,RWD,,,,,,,,228,0.79,0.79,51.1,127.9,8.116,22.908,,,,,forza-fh6-roster-data.csv,Same MF10. Identical 176 N.m; 1157 against our 1120 kg.,
MG-094,94,,Lexus LFA,Lexus LFA,Lexus,,,,,2010,37500000,researched,,flagship,,jdm,Exotic,Hyper Wave,no,94,,,560,,,480,,,4810,,,1480,48,RWD,,,,,,,,327.2,1.03,1.09,30.9,73.5,3.66,7.694,,,,,forza-fh6-roster-data.csv,Same LFA. Identical throughout. Hand-measured car.,
