uid,rosterNo,displayName,column,value,sourceUrl,confidence,notes,applied
MG-034,34,Autozam AZ-1 (PG6SA),curbWeightKg,720,https://www.carfolio.com/mazda-az-1-10109,HIGH,Corroborated by Wikipedia,yes
MG-034,34,Autozam AZ-1 (PG6SA),displacementCc,657,https://www.carfolio.com/mazda-az-1-10109,HIGH,,yes
MG-034,34,Autozam AZ-1 (PG6SA),drivetrain,RR,https://en.wikipedia.org/wiki/Autozam_AZ-1,HIGH,"Rear mid-engine, RWD; existing file's FF/FR vocabulary does not cover mid/rear-engined cars, flagging as a third case rather than forcing it into FR",yes
MG-034,34,Autozam AZ-1 (PG6SA),engineCode,F6A,https://www.carfolio.com/mazda-az-1-10109,HIGH,,yes
MG-034,34,Autozam AZ-1 (PG6SA),engineConfig,I3,https://www.carfolio.com/mazda-az-1-10109,HIGH,DOHC 12-valve turbo I3,yes
MG-034,34,Autozam AZ-1 (PG6SA),heightMm,1150,https://www.carfolio.com/mazda-az-1-10109,HIGH,Corroborated by Wikipedia,yes
MG-034,34,Autozam AZ-1 (PG6SA),peakTorqueNm,85,https://www.carfolio.com/mazda-az-1-10109,HIGH,At 4000rpm,yes
MG-034,34,Autozam AZ-1 (PG6SA),powerRpm,6500,https://www.carfolio.com/mazda-az-1-10109,HIGH,,yes
MG-034,34,Autozam AZ-1 (PG6SA),quotedPowerPs,64,https://en.wikipedia.org/wiki/Autozam_AZ-1,HIGH,Kei-class 64PS self-regulation cap; quoted equals stock,yes
MG-034,34,Autozam AZ-1 (PG6SA),stockPowerPs,64,https://www.carfolio.com/mazda-az-1-10109,HIGH,,yes
MG-034,34,Autozam AZ-1 (PG6SA),stockTyre,155/65R13,https://www.carfolio.com/mazda-az-1-10109,HIGH,,yes
MG-034,34,Autozam AZ-1 (PG6SA),styleBase,17,,SUGGESTION,"Gull-wing doors on a kei car, a genuinely unique mid-engine sports-car silhouette; matches the roster's Legend scope",yes
MG-034,34,Autozam AZ-1 (PG6SA),topSpeedKmh,140,https://en.wikipedia.org/wiki/Autozam_AZ-1,HIGH,Electronically governed under the kei jidosha voluntary top-speed agreement; an ungoverned theoretical figure of approximately 177km/h is also cited but is too imprecise to report as the value,yes
MG-034,34,Autozam AZ-1 (PG6SA),torqueRpm,4000,https://www.carfolio.com/mazda-az-1-10109,HIGH,,yes
MG-034,34,Autozam AZ-1 (PG6SA),tyreCompound,performance,,LOW,"Classification judgement for a mid-engine kei sports car, not itself a cited figure",yes
MG-034,34,Autozam AZ-1 (PG6SA),weightDistributionFront,44,https://www.carfolio.com/mazda-az-1-10109,MED,,yes
MG-034,34,Autozam AZ-1 (PG6SA),wheelbaseMm,2235,https://www.carfolio.com/mazda-az-1-10109,HIGH,,yes
MG-034,34,Autozam AZ-1 (PG6SA),widthMm,1395,https://www.carfolio.com/mazda-az-1-10109,HIGH,,yes
MG-034,34,Autozam AZ-1 (PG6SA),yearFrom,1992,https://www.automobile-catalog.com/car/1992/1641695/autozam_az-1.html,MED,Launched October 1992 per search-result summary,yes
MG-035,35,Nissan Laurel Club S (C33),drivetrain,FR,https://www.auto-data.net/en/nissan-laurel-e-hc33-2.5-24v-club-s-190hp-392,MED,"All C33-generation Laurel grades were RWD regardless of engine choice, safe to report despite trim ambiguity (see final summary)",yes
MG-036,36,Nissan 180SX (RPS13),quotedPowerPs,205,https://cars.japanesecartrade.com/detail/nissan/180sx/type-ii/158528,MED,"JDM Type II SR20DET brochure figure at 6000rpm, corroborated by carfromjapan.com. NOTE: the existing stockPowerPs cell (157) and curbWeightKg (1322) in this row are already flagged by the row's own notes as Forza's US-market 240SX/KA24DE data, not the JDM 180SX; this quotedPowerPs value is the genuine JDM SR20DET brochure figure and is HIGHER than the existing (wrong) stockPowerPs cell, an internal inconsistency left for the maintainer to resolve, not touched here",yes
MG-038,38,VW Golf GTI 16V (Mk2),aspiration,NA,https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk2,HIGH,,yes
MG-038,38,VW Golf GTI 16V (Mk2),chassisCode,19E,https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk2,MED,"Officially Typ 19E until 1991, then Typ 1G",yes
MG-038,38,VW Golf GTI 16V (Mk2),curbWeightKg,960,https://www.encycarpedia.com/us/volkswagen/86-golf-gti-16v-usa-hatch,MED,DIN kerb weight; EU running-order weight cited up to 1035-1130kg elsewhere depending on source,yes
MG-038,38,VW Golf GTI 16V (Mk2),displacementCc,1781,https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk2,HIGH,,yes
MG-038,38,VW Golf GTI 16V (Mk2),dragCd,0.34,https://www.classicandsportscar.com/features/buyers-guide-volkswagen-golf-gti-mk2,HIGH,Mk2 improvement over the Mk1's 0.42,yes
MG-038,38,VW Golf GTI 16V (Mk2),drivetrain,FWD,https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk2,HIGH,Existing file's FF/FWD vocabulary; using FWD,yes
MG-038,38,VW Golf GTI 16V (Mk2),engineCode,KR,https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk2,HIGH,EA827 family 1.8 16V,yes
MG-038,38,VW Golf GTI 16V (Mk2),engineConfig,I4,https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk2,HIGH,,yes
MG-038,38,VW Golf GTI 16V (Mk2),heightMm,1390,https://www.ultimatespecs.com/car-specs/Volkswagen/125870/Volkswagen-Golf-2-GTI-16v-139HP.html,MED,,yes
MG-038,38,VW Golf GTI 16V (Mk2),peakTorqueNm,168,https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk2,HIGH,At 4600rpm,yes
MG-038,38,VW Golf GTI 16V (Mk2),powerRpm,6100,https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk2,HIGH,,yes
MG-038,38,VW Golf GTI 16V (Mk2),quotedPowerPs,139,https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk2,HIGH,"European car, not subject to the JDM 280PS ceiling; quoted equals stock. Export-market figure per field notes (JDM-import Golf spec not separately found)",yes
MG-038,38,VW Golf GTI 16V (Mk2),stockPowerPs,139,https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk2,HIGH,Export-market figure; see quotedPowerPs note,yes
MG-038,38,VW Golf GTI 16V (Mk2),stockTyre,185/60R14,https://www.ultimatespecs.com/car-specs/Volkswagen/125870/Volkswagen-Golf-2-GTI-16v-139HP.html,HIGH,,yes
MG-038,38,VW Golf GTI 16V (Mk2),styleBase,11,,SUGGESTION,"Clean classic 80s hot-hatch design, moderately distinctive but understated",yes
MG-038,38,VW Golf GTI 16V (Mk2),topSpeedKmh,216,https://www.classicandsportscar.com/features/buyers-guide-volkswagen-golf-gti-mk2,MED,134mph period claim from a classic-car buyer's guide; dedicated spec-aggregator databases (ultimatespecs and similar) instead cite a slightly lower 206-208km/h,yes
MG-038,38,VW Golf GTI 16V (Mk2),torqueRpm,4600,https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk2,HIGH,,yes
MG-038,38,VW Golf GTI 16V (Mk2),tyreCompound,sport,,LOW,"Classification judgement for a hot hatch, not itself a cited figure",yes
MG-038,38,VW Golf GTI 16V (Mk2),wheelbaseMm,2470,https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk2,HIGH,Corroborated by ultimatespecs (247cm),yes
MG-038,38,VW Golf GTI 16V (Mk2),widthMm,1680,https://www.ultimatespecs.com/car-specs/Volkswagen/125870/Volkswagen-Golf-2-GTI-16v-139HP.html,MED,Wikipedia gives a wider 1665-1700mm range depending on bumper/mirror spec,yes
MG-038,38,VW Golf GTI 16V (Mk2),yearFrom,1986,https://en.wikipedia.org/wiki/Volkswagen_Golf_Mk2,HIGH,"European launch (1987 for North America); export-market car, JDM import timing not separately confirmed",yes
MG-039,39,Daihatsu Copen (L880K),aspiration,turbo,https://www.carfolio.com/daihatsu-copen-93269,HIGH,,yes
MG-039,39,Daihatsu Copen (L880K),chassisCode,L880K,https://www.carfolio.com/daihatsu-copen-93269,MED,Already implied by displayName; confirmed as the model code used throughout Japanese spec databases,yes
MG-039,39,Daihatsu Copen (L880K),curbWeightKg,800,https://www.carfolio.com/daihatsu-copen-93269,MED,Early 2002 spec; later years/trims cited around 830-870kg elsewhere,yes
MG-039,39,Daihatsu Copen (L880K),displacementCc,659,https://www.carfolio.com/daihatsu-copen-93269,HIGH,,yes
MG-039,39,Daihatsu Copen (L880K),drivetrain,FWD,https://www.carfolio.com/daihatsu-copen-93269,HIGH,Existing file's FF/FWD vocabulary; using FWD,yes
MG-039,39,Daihatsu Copen (L880K),engineCode,JB-DET,https://www.carfolio.com/daihatsu-copen-93269,HIGH,,yes
MG-039,39,Daihatsu Copen (L880K),engineConfig,I3,https://www.carfolio.com/daihatsu-copen-93269,MED,JB-series kei engine family is inline-3,"no: implausible, the Daihatsu JB 659cc DOHC 16v is an inline-4"
MG-039,39,Daihatsu Copen (L880K),heightMm,1260,https://www.carfolio.com/daihatsu-copen-93269,MED,Other sources cite 1245mm; minor variance across model years/roof position,yes
MG-039,39,Daihatsu Copen (L880K),peakTorqueNm,108,https://www.carfolio.com/daihatsu-copen-93269,HIGH,At 2800rpm,yes
MG-039,39,Daihatsu Copen (L880K),powerRpm,6800,https://www.carfolio.com/daihatsu-copen-93269,MED,,yes
MG-039,39,Daihatsu Copen (L880K),quotedPowerPs,64,https://www.carfolio.com/daihatsu-copen-93269,HIGH,Kei-class 64PS cap; quoted equals stock,yes
MG-039,39,Daihatsu Copen (L880K),stockPowerPs,64,https://www.carfolio.com/daihatsu-copen-93269,HIGH,,yes
MG-039,39,Daihatsu Copen (L880K),styleBase,13,,SUGGESTION,Cute characterful kei roadster with a distinctive retractable hardtop,yes
MG-039,39,Daihatsu Copen (L880K),torqueRpm,2800,https://www.carfolio.com/daihatsu-copen-93269,HIGH,,yes
MG-039,39,Daihatsu Copen (L880K),tyreCompound,touring,,LOW,"Classification judgement for a small roadster, not itself a cited figure",yes
MG-039,39,Daihatsu Copen (L880K),wheelbaseMm,2230,https://www.carfolio.com/daihatsu-copen-93269,HIGH,,yes
MG-039,39,Daihatsu Copen (L880K),widthMm,1475,https://www.carfolio.com/daihatsu-copen-93269,HIGH,,yes
MG-039,39,Daihatsu Copen (L880K),yearFrom,2002,https://www.carfolio.com/daihatsu-copen-93269,HIGH,L880K launched June 2002 in Japan,yes
MG-040,40,Mazda Savanna RX-7 (FC3S),quotedPowerPs,185,https://www.jdmbuysell.com/learn/mazda/rx-7/fc3s/,MED,"JDM GT-X 13B-T brochure figure, used before the 1989 twin-scroll update raised output to 205PS. NOTE: the existing stockPowerPs cell (203) and curbWeightKg (1352) in this row are already flagged by the row's own notes as Forza's later Turbo II spec rather than this car's true 185PS/1230kg JDM figure; reported here for the maintainer's attention, stockPowerPs itself not touched",yes
MG-041,41,Toyota Chaser Tourer V (JZX90),quotedPowerPs,280,https://carfromjapan.com/specifications/toyota/chaser/581791c72afaa2c4b28754ab,MED,"Official brochure figure at the JDM 280PS voluntary ceiling, matching the existing stockPowerPs cell and this row's existing powerRpm/torqueRpm/peakTorqueNm (280PS/6200rpm, 362.8Nm/4800rpm). Real dyno output is widely reported by enthusiasts to exceed this, but no firm published figure was found",yes
MG-043,43,Eunos Cosmo 20B Type S (JC),aspiration,twin-turbo,https://www.theautopian.com/the-cosmo-was-so-advanced-it-was-the-only-mazda-ever-to-get-a-triple-rotor-engine-holy-grails/,HIGH,,yes
MG-043,43,Eunos Cosmo 20B Type S (JC),chassisCode,JC,https://www.nextage.jp/carcatalog/eunos/eunos_cosmo/e-jcese/3000251/,MED,Catalogue listing uses the E-JCESE chassis prefix,yes
MG-043,43,Eunos Cosmo 20B Type S (JC),curbWeightKg,1600,https://www.carfolio.com/mazda-eunos-cosmo-9900,MED,20B Type S figure; Wikipedia cites a broader 1490-1640kg range across all Cosmo grades,yes
MG-043,43,Eunos Cosmo 20B Type S (JC),displacementCc,1962,https://www.automobile-catalog.com/car/1991/1653665/eunos_cosmo_20b_type_s.html,MED,"Nominal 3x654cc rotary swept volume per JDM convention, matching this roster's existing rotary-2 RX-7 FC3S entry's convention. A separate database (carfolio) lists a doubled 3924cc using an alternate rotary-equivalence convention; not used here for internal consistency",yes
MG-043,43,Eunos Cosmo 20B Type S (JC),drivetrain,FR,https://www.carfolio.com/mazda-eunos-cosmo-9900,HIGH,,yes
MG-043,43,Eunos Cosmo 20B Type S (JC),engineCode,20B-REW,https://www.carfolio.com/mazda-eunos-cosmo-9900,MED,Full designation for the twin-turbo three-rotor; some sources abbreviate to just 20B,yes
MG-043,43,Eunos Cosmo 20B Type S (JC),engineConfig,rotary-3,,MED,Three-rotor engine; the roster's existing vocabulary only defines rotary-2 (for 2-rotor engines like the FC3S 13B). A new rotary-3 value is needed for this car and flagged per the field notes,yes
MG-043,43,Eunos Cosmo 20B Type S (JC),heightMm,1305,https://www.carfolio.com/mazda-eunos-cosmo-9900,HIGH,Corroborated by Wikipedia,yes
MG-043,43,Eunos Cosmo 20B Type S (JC),peakTorqueNm,403,https://en.wikipedia.org/wiki/Eunos_Cosmo,MED,Official JIS figure per Wikipedia; carfolio's close 392Nm figure is not identical,yes
MG-043,43,Eunos Cosmo 20B Type S (JC),quotedPowerPs,280,https://www.theautopian.com/the-cosmo-was-so-advanced-it-was-the-only-mazda-ever-to-get-a-triple-rotor-engine-holy-grails/,MED,Official/advertised figure under the JDM voluntary ceiling,yes
MG-043,43,Eunos Cosmo 20B Type S (JC),stockPowerPs,300,https://www.carfolio.com/mazda-eunos-cosmo-9900,MED,"Carfolio's own spec-sheet figure, differing from the 280PS advertised ceiling; theautopian.com separately corroborates a real/estimated output of around 300PS versus the 280PS official figure",yes
MG-043,43,Eunos Cosmo 20B Type S (JC),stockTyre,215/60R15,https://www.carfolio.com/mazda-eunos-cosmo-9900,HIGH,,yes
MG-043,43,Eunos Cosmo 20B Type S (JC),styleBase,16,,SUGGESTION,"Large, low, dramatically styled flagship GT coupe, one of the most striking Japanese cars of its era",yes
MG-043,43,Eunos Cosmo 20B Type S (JC),topSpeedKmh,250,https://www.carfolio.com/mazda-eunos-cosmo-9900,MED,Wikipedia separately cites 255km/h unrestricted and notes the JDM production car was electronically speed-limited to 180km/h,yes
MG-043,43,Eunos Cosmo 20B Type S (JC),tyreCompound,sport,,LOW,"Classification judgement for a high-power luxury GT flagship, not itself a cited figure",yes
MG-043,43,Eunos Cosmo 20B Type S (JC),wheelbaseMm,2750,https://www.carfolio.com/mazda-eunos-cosmo-9900,HIGH,Corroborated by Wikipedia,yes
MG-043,43,Eunos Cosmo 20B Type S (JC),widthMm,1795,https://www.carfolio.com/mazda-eunos-cosmo-9900,HIGH,Corroborated by Wikipedia,yes
MG-043,43,Eunos Cosmo 20B Type S (JC),yearFrom,1990,https://www.automobile-catalog.com/car/1991/1653665/eunos_cosmo_20b_type_s.html,MED,20B Type S introduced March 1990 per search-result summary,yes
MG-044,44,Nissan Pulsar GTI-R (RNN14),aspiration,turbo,https://www.canadagtir.com/forum/misc-tech/nissan-pulsar-gti-r-specs-specifications,HIGH,,yes
MG-044,44,Nissan Pulsar GTI-R (RNN14),chassisCode,RNN14,https://www.canadagtir.com/forum/misc-tech/nissan-pulsar-gti-r-specs-specifications,MED,Already implied by displayName; confirmed independently,yes
MG-044,44,Nissan Pulsar GTI-R (RNN14),dragCd,0.39,https://www.canadagtir.com/forum/misc-tech/nissan-pulsar-gti-r-specs-specifications,MED,,yes
MG-044,44,Nissan Pulsar GTI-R (RNN14),engineCode,SR20DET,https://www.canadagtir.com/forum/misc-tech/nissan-pulsar-gti-r-specs-specifications,HIGH,,yes
MG-044,44,Nissan Pulsar GTI-R (RNN14),engineConfig,I4,https://www.canadagtir.com/forum/misc-tech/nissan-pulsar-gti-r-specs-specifications,HIGH,,yes
MG-044,44,Nissan Pulsar GTI-R (RNN14),heightMm,1410,https://www.canadagtir.com/forum/misc-tech/nissan-pulsar-gti-r-specs-specifications,MED,auto-data.net gives a close 1400mm,yes
MG-044,44,Nissan Pulsar GTI-R (RNN14),powerRpm,6000,https://www.auto-data.net/en/nissan-pulsar-n14-2.0-i-16v-gti-r-3-dr-230hp-689,MED,A separate spec sheet (canadagtir.com) gives 6400rpm alongside a slightly different 227PS figure,yes
MG-044,44,Nissan Pulsar GTI-R (RNN14),quotedPowerPs,230,https://www.auto-data.net/en/nissan-pulsar-n14-2.0-i-16v-gti-r-3-dr-230hp-689,MED,"Matches existing stockPowerPs cell; below the JDM 280PS ceiling, so quoted equals real output",yes
MG-044,44,Nissan Pulsar GTI-R (RNN14),stockTyre,195/55R14,https://www.canadagtir.com/forum/misc-tech/nissan-pulsar-gti-r-specs-specifications,MED,,yes
MG-044,44,Nissan Pulsar GTI-R (RNN14),styleBase,10,,SUGGESTION,"Boxy homologation-special hatchback with a subtle body kit, purposeful but not visually dramatic",yes
MG-044,44,Nissan Pulsar GTI-R (RNN14),torqueRpm,3600,https://www.auto-data.net/en/nissan-pulsar-n14-2.0-i-16v-gti-r-3-dr-230hp-689,MED,A separate spec sheet (canadagtir.com) gives 4800rpm alongside a slightly different torque figure,yes
MG-044,44,Nissan Pulsar GTI-R (RNN14),tyreCompound,performance,,LOW,"Classification judgement for a rally homologation special, not itself a cited figure",yes
MG-044,44,Nissan Pulsar GTI-R (RNN14),wheelbaseMm,2430,https://www.canadagtir.com/forum/misc-tech/nissan-pulsar-gti-r-specs-specifications,HIGH,Corroborated by auto-data.net,yes
MG-044,44,Nissan Pulsar GTI-R (RNN14),widthMm,1690,https://www.canadagtir.com/forum/misc-tech/nissan-pulsar-gti-r-specs-specifications,HIGH,Corroborated by auto-data.net,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),aspiration,NA,https://www.carfolio.com/subaru-alcyone-svx-version-l-197747,HIGH,,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),curbWeightKg,1620,https://www.carfolio.com/subaru-alcyone-svx-version-l-197747,HIGH,,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),displacementCc,3319,https://www.carfolio.com/subaru-alcyone-svx-version-l-197747,HIGH,,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),dragCd,0.29,https://www.carfolio.com/subaru-alcyone-svx-version-l-197747,HIGH,,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),drivetrain,AWD,https://en.wikipedia.org/wiki/Subaru_Alcyone_SVX,HIGH,VTD AWD with a mechanical 36/64 nominal split,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),engineCode,EG33,https://www.carfolio.com/subaru-alcyone-svx-version-l-197747,HIGH,,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),engineConfig,flat-6,https://www.carfolio.com/subaru-alcyone-svx-version-l-197747,HIGH,Matches existing vocabulary,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),heightMm,1300,https://www.carfolio.com/subaru-alcyone-svx-version-l-197747,HIGH,,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),peakTorqueNm,309,https://www.carfolio.com/subaru-alcyone-svx-version-l-197747,HIGH,At 4800rpm,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),powerRpm,6000,https://www.carfolio.com/subaru-alcyone-svx-version-l-197747,HIGH,,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),quotedPowerPs,240,https://www.carfolio.com/subaru-alcyone-svx-version-l-197747,HIGH,Matches stock; not subject to the JDM 280PS ceiling,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),stockPowerPs,240,https://www.carfolio.com/subaru-alcyone-svx-version-l-197747,HIGH,,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),stockTyre,225/50R16,https://www.carfolio.com/subaru-alcyone-svx-version-l-197747,HIGH,,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),styleBase,17,,SUGGESTION,"Distinctive glass-canopy window-in-window design, one of the most unique silhouettes of its era",yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),topSpeedKmh,248,https://en.wikipedia.org/wiki/Subaru_Alcyone_SVX,MED,1992-93 pre-governor figure; a 1994+ electronic speed governor dropped later cars to 230km/h,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),torqueRpm,4800,https://www.carfolio.com/subaru-alcyone-svx-version-l-197747,HIGH,,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),tyreCompound,touring,,LOW,"Classification judgement for a luxury grand tourer, not itself a cited figure",yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),wheelbaseMm,2610,https://www.carfolio.com/subaru-alcyone-svx-version-l-197747,HIGH,,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),widthMm,1770,https://www.carfolio.com/subaru-alcyone-svx-version-l-197747,HIGH,,yes
MG-045,45,Subaru Alcyone SVX Version L (CXD),yearFrom,1991,https://www.automobile-catalog.com/car/1991/3237575/subaru_alcyone_svx_version_e.html,MED,"Version E launched September 1991; Version L presumed same generation launch, not separately confirmed",yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),aspiration,turbo,https://www.tc-v.com/specifications/mitsubishi/starion/gsr-vr_at_2.6/15764/,HIGH,,yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),chassisCode,A187A,https://www.tc-v.com/specifications/mitsubishi/starion/gsr-vr_at_2.6/15764/,HIGH,Confirmed as E-A187A,yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),curbWeightKg,1340,https://www.tc-v.com/specifications/mitsubishi/starion/gsr-vr_at_2.6/15764/,HIGH,Corroborated by Wikipedia's widebody figure,yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),displacementCc,2555,https://www.tc-v.com/specifications/mitsubishi/starion/gsr-vr_at_2.6/15764/,HIGH,,yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),dragCd,0.32,https://en.wikipedia.org/wiki/Mitsubishi_Starion,LOW,"General Starion figure from Wikipedia, not confirmed specific to the GSR-VR widebody variant; no better source found",yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),drivetrain,FR,https://www.tc-v.com/specifications/mitsubishi/starion/gsr-vr_at_2.6/15764/,HIGH,,yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),engineCode,G54B,https://www.tc-v.com/specifications/mitsubishi/starion/gsr-vr_at_2.6/15764/,HIGH,Corroborated by auto-data.net,yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),engineConfig,I4,https://www.tc-v.com/specifications/mitsubishi/starion/gsr-vr_at_2.6/15764/,HIGH,,yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),heightMm,1320,https://www.tc-v.com/specifications/mitsubishi/starion/gsr-vr_at_2.6/15764/,MED,Wikipedia cites a close 1275-1315mm depending on model year,yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),peakTorqueNm,314,https://www.tc-v.com/specifications/mitsubishi/starion/gsr-vr_at_2.6/15764/,HIGH,32.0kgm at 3000rpm,yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),powerRpm,5000,https://www.tc-v.com/specifications/mitsubishi/starion/gsr-vr_at_2.6/15764/,HIGH,,yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),quotedPowerPs,175,https://www.tc-v.com/specifications/mitsubishi/starion/gsr-vr_at_2.6/15764/,HIGH,"Corroborated by japanesecartrade.com and Wikipedia; matches stock, below the JDM 280PS ceiling. One auto-data.net listing for this same chassis gives an outlying 155PS that is not corroborated elsewhere and was not used",yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),stockPowerPs,175,https://www.tc-v.com/specifications/mitsubishi/starion/gsr-vr_at_2.6/15764/,HIGH,,yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),styleBase,14,,SUGGESTION,"Aggressive flared wide-body wedge styling, striking for its era",yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),torqueRpm,3000,https://www.tc-v.com/specifications/mitsubishi/starion/gsr-vr_at_2.6/15764/,HIGH,,yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),tyreCompound,performance,,LOW,"Classification judgement for a turbo sports coupe, not itself a cited figure",yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),wheelbaseMm,2435,https://www.tc-v.com/specifications/mitsubishi/starion/gsr-vr_at_2.6/15764/,HIGH,Corroborated by Wikipedia,yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),widthMm,1745,https://www.tc-v.com/specifications/mitsubishi/starion/gsr-vr_at_2.6/15764/,HIGH,Corroborated by Wikipedia's widebody figure,yes
MG-046,46,Mitsubishi Starion GSR-VR (A187A),yearFrom,1987,https://en.wikipedia.org/wiki/Mitsubishi_Starion,MED,GSR-VR widebody produced 1987-1989 per Wikipedia; the detailed spec sheet used for most other values above is dated to a 1988 example,yes
MG-047,47,1965 Mini Cooper S (Mk1),aspiration,NA,https://www.automobile-catalog.com/car/1965/256205/austin_cooper_s.html,MED,From search-result summary; direct page fetch was blocked by the site (402),yes
MG-047,47,1965 Mini Cooper S (Mk1),curbWeightKg,650,https://www.automobile-catalog.com/car/1965/256205/austin_cooper_s.html,MED,From search-result summary; direct page fetch was blocked by the site (402),yes
MG-047,47,1965 Mini Cooper S (Mk1),displacementCc,1275,https://www.automobile-catalog.com/car/1965/256205/austin_cooper_s.html,MED,From search-result summary,yes
MG-047,47,1965 Mini Cooper S (Mk1),drivetrain,FWD,https://en.wikipedia.org/wiki/Mini,HIGH,Existing file's FF/FWD vocabulary; using FWD,yes
MG-047,47,1965 Mini Cooper S (Mk1),engineConfig,I4,https://www.automobile-catalog.com/car/1965/256205/austin_cooper_s.html,MED,"A-Series inline-4, from search-result summary",yes
MG-047,47,1965 Mini Cooper S (Mk1),heightMm,1346,https://en.wikipedia.org/wiki/Mini,MED,"General Mk1 saloon figure, not confirmed Cooper S specific",yes
MG-047,47,1965 Mini Cooper S (Mk1),peakTorqueNm,107,https://www.automobile-catalog.com/car/1965/256205/austin_cooper_s.html,MED,From search-result summary; rpm not stated,yes
MG-047,47,1965 Mini Cooper S (Mk1),quotedPowerPs,76,https://www.automobile-catalog.com/car/1965/256205/austin_cooper_s.html,MED,"Contemporary British gross bhp figure; not subject to the JDM 280PS ceiling concept, matches stock",yes
MG-047,47,1965 Mini Cooper S (Mk1),stockPowerPs,76,https://www.automobile-catalog.com/car/1965/256205/austin_cooper_s.html,MED,From search-result summary; rpm not stated,yes
MG-047,47,1965 Mini Cooper S (Mk1),styleBase,13,,SUGGESTION,"Small and cute rather than aggressive, but one of the most iconic and beloved silhouettes in motoring",yes
MG-047,47,1965 Mini Cooper S (Mk1),topSpeedKmh,154,https://www.automobile-catalog.com/car/1965/256205/austin_cooper_s.html,MED,From search-result summary,yes
MG-047,47,1965 Mini Cooper S (Mk1),tyreCompound,sport,,LOW,"Classification judgement reflecting the car's rally/race pedigree despite period-appropriate skinny tyres, not itself a cited figure",yes
MG-047,47,1965 Mini Cooper S (Mk1),wheelbaseMm,2036,https://en.wikipedia.org/wiki/Mini,HIGH,"Saloon-wide figure, applies to all Mk1 Minis including Cooper S",yes
MG-047,47,1965 Mini Cooper S (Mk1),widthMm,1410,https://en.wikipedia.org/wiki/Mini,MED,Base width; up to 1530mm with the optional wide-arch sportspack,yes
MG-047,47,1965 Mini Cooper S (Mk1),yearFrom,1964,https://www.automobile-catalog.com/car/1964/256205/austin_cooper_s.html,MED,1275S variant introduced April 1964 per search-result summary,yes
MG-048,48,Nissan Silvia K's (S14),quotedPowerPs,220,https://carfromjapan.com/specifications/nissan/silvia/581388e02afaa2c4b2869339,MED,"Matches this row's existing stockPowerPs, powerRpm and torqueRpm cells exactly (220PS/6000rpm, 274.6Nm/4800rpm); below the JDM 280PS ceiling, so quoted equals real output",yes
